11/01/2024 21:24:57,Montréal,Montréal ; Canada,Muscule-powered,Feet,
12/01/2024 00:01:27,I only attended online,,I attended online,I attended online,
12/01/2024 00:13:28,Los Angeles,Los Angeles ; United States of America,City bus / Intercity coach,Same as I came!,
12/01/2024 01:06:40,Los Angeles,Los Angeles ; USA,Car,Car,
12/01/2024 13:36:53,Genova,Verona ; Italy,Train,Train,
13/01/2024 13:26:41,Frankfurt am Main,Frankfurt ; Germany,Muscule-powered,Feet,
14/01/2024 10:13:03,Lyon,Lyon ; France,Muscule-powered,Bike,
15/01/2024 15:46:29,I only attended online,,I attended online,I attended online,
16/01/2024 12:01:53,Belgrade,Belgrade ; Serbia,City bus / Intercity coach,Same as I came!,
16/01/2024 14:09:21,Genova,Rovereto ; Italy,Train,Same as I came!,"the idea of distributed/local gardens is great, the only problem is that sometimes it's too ""local"" (the attendees prefer not to switch to english and you don't have the impression to take/be part of an international workshop). So one option to avoid this prolem could be to organize ""along-the-border"" gardens: 2/3 or more countries organize a common garden in a town easy to reach from all of them !"
17/01/2024 03:08:50,Santiago,Santiago ; Chile ,Train,Train,
17/01/2024 11:12:41,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,City bus,
18/01/2024 07:46:21,Gent,Brussels ; Belgium,Train,Train,
